year,image_count,subbasin_id,subbasin_name,hybas_id,next_down,subbasin_area_km2,valid_area_km2,valid_share,coverage_flag,ndvi_mean,mndwi_mean,water_area_km2,water_threshold,roi_version,statistics_scale_m
2020,56,SB01,扎陵湖上游北部单元,4060614190,4060620840,3432.588802342332,3432.574771399125,0.9999959124311081,high,0.2991948207864485,-0.37139856612511973,35.40889282280492,0,hybas6_v1,20
2020,32,SB02,扎陵湖上游南部单元,4060614330,4060620840,3080.210200935766,3080.209873677038,0.9999998937544172,high,0.40820181212978884,-0.45442331874887804,12.041158805030015,0,hybas6_v1,20
2020,55,SB03,扎陵湖所在单元,4060620840,4060628060,3006.4745600595484,3006.4745600595484,1.0,high,0.1587634182168791,-0.16444741839480356,575.3035431201183,0,hybas6_v1,20
2020,66,SB04,鄂陵湖上游南部单元,4060621070,4060628060,5646.176166571835,5646.175838579228,0.999999941908896,high,0.46115338815242446,-0.4730424929828941,54.539126536237326,0,hybas6_v1,20
2020,98,SB05,鄂陵湖所在及出口单元,4060628060,4060660740,7986.592018117333,7986.592018117333,1.0,high,0.2768970701513166,-0.30927645430314754,918.0089696314182,0,hybas6_v1,20
2021,77,SB01,扎陵湖上游北部单元,4060614190,4060620840,3432.588802342332,3432.588802342332,1.0,high,0.2841593144644358,-0.3475485734895958,26.662850261756812,0,hybas6_v1,20
2021,35,SB02,扎陵湖上游南部单元,4060614330,4060620840,3080.210200935766,3080.210200935766,1.0,high,0.3959915539631221,-0.42088976429500863,9.484920583311913,0,hybas6_v1,20
2021,77,SB03,扎陵湖所在单元,4060620840,4060628060,3006.4745600595484,3006.4745600595484,1.0,high,0.16982215403583795,-0.17158709030342878,563.7280416682673,0,hybas6_v1,20
2021,75,SB04,鄂陵湖上游南部单元,4060621070,4060628060,5646.176166571835,5646.176166571835,1.0,high,0.45546939584429735,-0.43974659242391817,53.90086000566137,0,hybas6_v1,20
2021,121,SB05,鄂陵湖所在及出口单元,4060628060,4060660740,7986.592018117333,7986.529553057044,0.9999921787590818,high,0.27707364309007454,-0.29975997995836123,858.1313595038678,0,hybas6_v1,20
2022,72,SB01,扎陵湖上游北部单元,4060614190,4060620840,3432.588802342332,3432.588802342332,1.0,high,0.26594767008879877,-0.3484038927915769,28.25566384061114,0,hybas6_v1,20
2022,33,SB02,扎陵湖上游南部单元,4060614330,4060620840,3080.210200935766,3080.210200935766,1.0,high,0.365180169465262,-0.4252765000932425,8.734752830353258,0,hybas6_v1,20
2022,60,SB03,扎陵湖所在单元,4060620840,4060628060,3006.4745600595484,3006.4745600595484,1.0,high,0.17540884772014947,-0.18803480727544947,562.4903170817666,0,hybas6_v1,20
2022,61,SB04,鄂陵湖上游南部单元,4060621070,4060628060,5646.176166571835,5646.176166571835,1.0,high,0.4556597680846158,-0.4600462145594972,50.065053256819354,0,hybas6_v1,20
2022,91,SB05,鄂陵湖所在及出口单元,4060628060,4060660740,7986.592018117333,7986.589729017119,0.9999997133821023,high,0.28291048680357517,-0.3265770398907773,845.1580518615791,0,hybas6_v1,20
2023,45,SB01,扎陵湖上游北部单元,4060614190,4060620840,3432.588802342332,3432.588802342332,1.0,high,0.29270393546873275,-0.3593206090966614,41.86329730820456,0,hybas6_v1,20
2023,19,SB02,扎陵湖上游南部单元,4060614330,4060620840,3080.210200935766,3080.210200935736,0.9999999999999902,high,0.37457817377438546,-0.4304812225361026,15.40525351064392,0,hybas6_v1,20
2023,52,SB03,扎陵湖所在单元,4060620840,4060628060,3006.4745600595484,3006.4745600595484,1.0,high,0.16189863041329128,-0.13773527318278236,583.7878779135887,0,hybas6_v1,20
2023,48,SB04,鄂陵湖上游南部单元,4060621070,4060628060,5646.176166571835,5646.176166571835,1.0,high,0.450587704033922,-0.4524738200349045,59.20232602534794,0,hybas6_v1,20
2023,92,SB05,鄂陵湖所在及出口单元,4060628060,4060660740,7986.592018117333,7986.59169057608,0.9999999589886083,high,0.2955499088422935,-0.2851989837579634,901.355604001422,0,hybas6_v1,20
2024,50,SB01,扎陵湖上游北部单元,4060614190,4060620840,3432.588802342332,3432.588802342332,1.0,high,0.3192197920356592,-0.3685120625183021,39.178654717559425,0,hybas6_v1,20
2024,25,SB02,扎陵湖上游南部单元,4060614330,4060620840,3080.210200935766,3080.210200935766,1.0,high,0.4227760564860675,-0.4558618485388282,10.962057706799552,0,hybas6_v1,20
2024,44,SB03,扎陵湖所在单元,4060620840,4060628060,3006.4745600595484,3006.4745600595484,1.0,high,0.18779141572304192,-0.16692149808423196,580.2204925302922,0,hybas6_v1,20
2024,53,SB04,鄂陵湖上游南部单元,4060621070,4060628060,5646.176166571835,5646.176166571835,1.0,high,0.476162414032586,-0.48186830620698595,52.72686370315963,0,hybas6_v1,20
2024,74,SB05,鄂陵湖所在及出口单元,4060628060,4060660740,7986.592018117333,7986.592018117333,1.0,high,0.29593556117198416,-0.31465759201518595,906.0041407933766,0,hybas6_v1,20
